'google-bert/bert-base-uncased': 12, # 0.5040517068560045
'google-bert/bert-base-multilingual-cased': 9, # 0.5424867487911889
'FacebookAI/xlm-roberta-base': 11, # 0.5087063231643645
'FacebookAI/xlm-roberta-large': 22, # 0.590744826600839
'kykim/bert-kor-base': 8, # 0.6525059442150242
'klue/bert-base': 8, # 0.610519310980925
'klue/roberta-small': 5, # 0.6155987371688525
'klue/roberta-base': 9, # 0.6350758600987101
'klue/roberta-large': 20, # 0.6632967999039878
'kakaobank/kf-deberta-base': 8, # 0.6491671790622691
'kakaobank/kf-deberta-base': 8, # 0.6491671887483449
'beomi/kcbert-base': 11, # 0.5642019923282193
'lassl/bert-ko-base': 8, # 0.6157721449042898
'snunlp/KR-BERT-char16424': 9, # 0.6396357376097898
'snunlp/KR-FinBert-SC': 7, # 0.6092057202033887
'beomi/kcbert-base': 11, # 0.5642019871726974
'Alibaba-NLP/gte-multilingual-mlm-base': 8, # 0.4142728879300747
'monologg/distilkobert': 2, # 0.5736902466031919
'kykim/electra-kor-base': 10, # 0.6393825654827927
'monologg/koelectra-base-v3-discriminator': 11, # 0.6090487861932803
'beomi/KcELECTRA-base': 11, # 0.6367047702247479
'klue/bert-base': 8, # 0.6105193168696843
