model,layers,score,empty,max_length,rank
google-bert/bert-base-uncased,12,0.5040517068560045,,510,19
google-bert/bert-base-multilingual-cased,9,0.5424867487911889,,510,17
FacebookAI/xlm-roberta-base,11,0.5087063231643645,,510,18
FacebookAI/xlm-roberta-large,22,0.590744826600839,,510,14
kykim/bert-kor-base,8,0.6525059442150242,,510,2
klue/bert-base,8,0.610519310980925,,510,11
klue/roberta-small,5,0.6155987371688525,,510,9
klue/roberta-base,9,0.6350758600987101,,510,7
klue/roberta-large,20,0.6632967999039878,,510,1
kakaobank/kf-deberta-base,8,0.6491671887483449,,510,3
beomi/kcbert-base,11,0.5642019923282193,,298,16
lassl/bert-ko-base,8,0.6157721449042898,,510,8
snunlp/KR-BERT-char16424,9,0.6396357376097898,,1000000000000000019884624838654,4
snunlp/KR-FinBert-SC,7,0.6092057202033887,,1000000000000000019884624838654,12
Alibaba-NLP/gte-multilingual-mlm-base,8,0.4142728879300747,,32766,20
monologg/distilkobert,2,0.5736902466031919,,510,15
kykim/electra-kor-base,10,0.6393825654827927,,510,5
monologg/koelectra-base-v3-discriminator,11,0.6090487861932803,,510,13
beomi/KcELECTRA-base,11,0.6367047702247479,,512,6
klue/bert-base,8,0.6105193168696843,,510,10
